id;beat1;beat3;beatall;phrasbeg;phrasend;cdpcx_raw_all;cpc_raw_all;durclass_abs_raw;durclass_rel_raw;metrical_position;chord_types_raw;chords_raw;phrase_id_raw;mcm_48;pitch_raw;fuzzyint_raw;int_raw;ioiclass_abs_raw;ioiclass_rel_raw
Ah-Leu-Cha.krn;0.0;1.0;1.0;0.0;0.0;7;10;-1;-2;4.4.35.3.1;-;G-;3;24;77;-2.0;-3.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;5;7;-1;-2;4.4.35.3.2;-;G-;3;27;74;1.0;1.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;%;8;-1;-2;4.4.35.3.3;-;G-;3;30;75;1.0;1.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;6;9;-1;-2;4.4.35.3.4;-;G-;3;33;76;-2.0;-4.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;4;5;-1;-2;4.4.35.4.1;-;G-;3;36;72;1.0;1.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;T;6;-1;-2;4.4.35.4.2;-;G-;3;39;73;1.0;1.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;5;7;-1;-2;4.4.35.4.3;-;G-;3;42;74;-1.0;-2.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;4;5;-1;-2;4.4.35.4.4;-;G-;3;45;72;-1.0;-2.0;-1.0;-2.0
Ah-Leu-Cha.krn;1.0;0.0;1.0;0.0;0.0;3;3;-1;-2;4.4.36.1.1;-;G-;3;0;70;-1.0;-1.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;2;2;-1;-2;4.4.36.1.2;-;G-;3;3;69;-1.0;-2.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;1;0;-1;-2;4.4.36.1.3;-;G-;3;6;67;-1.0;-2.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;7;10;-1;-2;4.4.36.1.4;-;G-;3;9;65;-1.0;-1.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;6;9;-1;-2;4.4.36.2.1;-;G-;3;12;64;2.0;3.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;1;0;-1;-2;4.4.36.2.2;-;G-;3;15;67;2.0;3.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;3;3;-1;-2;4.4.36.2.3;-;G-;3;18;70;2.0;3.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;T;6;-1;-2;4.4.36.2.4;-;G-;3;21;73;-1.0;-1.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;1.0;1.0;0.0;0.0;4;5;-1;-1;4.2.36.3.1;-;G-;3;24;72;-2.0;-3.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;2;2;-1;-1;4.2.36.3.2;-;G-;3;30;69;1.0;1.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;3;3;-1;-1;4.6.36.4.1;-;G-;3;36;70;1.0;2.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;4;5;-2;-2;4.6.36.4.4;-;G-;3;42;72;-1.0;-2.0;-2.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;3;3;-2;-2;4.6.36.4.5;-;G-;3;44;70;-1.0;-1.0;-2.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;2;2;-2;-2;4.6.36.4.6;-;G-;3;46;69;-1.0;-2.0;-2.0;-2.0
Ah-Leu-Cha.krn;1.0;0.0;1.0;0.0;1.0;1;0;-1;-1;4.2.37.1.1;-;G-;3;0;67;-3.0;-7.0;0.0;0.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;1.0;0.0;4;5;-1;-1;4.3.37.2.1;-;G-;4;12;60;2.0;4.0;-1.0;-1.0
